postID,date,time,platform,content_type,caption,hashtags,likes,comments,shares,saves,reach,engagement_rate
P00045,13-02-2024,16:28,twiter,image,Post about analytics,#socialmedia #trends,3924,Simple but effective insight,17,296,64102,0.0668
P00046,25-09-2024,20:32,twiter,image_caurosel,Post about content strategy,#engagement #trends,2194,Makes sense when you see it laid out like this,368,135,41756,0.0747
P00047,13-01-2024,12:19,facebook,image,Post about content strategy,#digital #socialmedia #trends,1353,This was genuinely helpful for my workflow,3,503,23707,0.0883
P00048,15-06-2024,00:57,twiter,image,Post about content strategy,#content #trends,2821,"Short and informative, I like it",407,122,15669,0.2374
P00049,09-02-2024,08:06,youtube,video,Post about content strategy,#analytics #growth #branding #strategy,3004,"Not groundbreaking, but very solid advice",438,281,59008,0.0636
P00050,10-06-2024,13:56,youtube,video,Post about engagement tips,#strategy #growth #socialmedia #marketing,1605,I wish more posts explained it this clearly,791,382,27352,0.1196
P00051,18-08-2024,17:08,facebook,image,Post about engagement tips,#branding #trends #strategy,1185,"Useful breakdown, especially the last part",659,293,17116,0.1266
P00052,26-07-2024,12:07,facebook,video,Post about analytics,#growth #strategy,2005,"Helpful context, thanks for sharing",308,494,38549,0.0818
P00053,08-10-2024,04:35,facebook,image_caurosel,Post about growth,#digital #strategy,1852,Clear explanation without unnecessary hype,463,340,31360,0.0918
P00054,12-06-2024,00:47,instagram,image,Post about engagement tips,#strategy #growth #content #analytics,2008,Good reminder of the basics,377,264,39358,0.07
P00055,01-02-2024,21:32,facebook,image_caurosel,Post about content strategy,#content #trends,4130,This saves a lot of trial and error,284,588,51354,0.0987
P00056,09-08-2024,22:48,instagram,video,Post about engagement tips,#socialmedia #content,2606,"Not groundbreaking, but very solid advice",22,130,4739,0.6288
P00057,27-08-2024,04:33,youtube,video,Post about engagement tips,#strategy #marketing,3727,This was genuinely helpful for my workflow,254,111,33080,0.1262
P00058,05-03-2024,04:40,twiter,video,Post about engagement tips,#socialmedia #trends #strategy #analytics,1955,"Not groundbreaking, but very solid advice",583,38,21883,0.1404
P00059,25-10-2024,19:00,youtube,video,Post about content strategy,#branding #digital #growth,1620,"Helpful context, thanks for sharing",397,267,8966,0.3004
P00060,26-09-2024,13:45,twiter,image_caurosel,Post about growth,#engagement #content,1973,Clear explanation without unnecessary hype,560,252,3911,0.8389
P00061,11-05-2024,15:02,twiter,video,Post about engagement tips,#content #growth #marketing,1916,This actually answered a question I had,683,434,26198,0.1204
P00062,15-09-2024,06:14,instagram,image_caurosel,Post about content strategy,#socialmedia #engagement #analytics,602,"Straight to the point, well done",210,507,3905,0.3798
P00063,05-09-2024,12:03,facebook,image_caurosel,Post about brand building,#content #marketing,3466,I tried something similar and got decent results,681,57,22672,0.2065
P00064,04-04-2024,02:59,facebook,image,Post about analytics,#strategy #engagement,3272,I tried something similar and got decent results,460,321,51311,0.0802
P00065,08-06-2024,03:00,youtube,image,Post about growth,#content #socialmedia #growth,3151,Makes sense when you see it laid out like this,382,339,32166,0.1232
P00066,01-07-2024,15:12,twiter,video,Post about engagement tips,#digital #trends,2578,"Helpful context, thanks for sharing",442,89,5826,0.5965
P00067,16-01-2024,01:29,youtube,image_caurosel,Post about content strategy,#socialmedia #digital,3415,"Interesting approach, might test this soon",253,414,6099,0.7016
P00068,19-05-2024,22:44,twiter,image,Post about content strategy,#trends #socialmedia,2794,This was genuinely helpful for my workflow,631,44,19995,0.1928
P00069,29-04-2024,08:58,instagram,image,Post about analytics,#analytics #marketing #branding,928,Simple but effective insight,486,476,13613,0.1689
P00070,06-11-2024,19:05,facebook,image,Post about analytics,#content #socialmedia,1984,I tried something similar and got decent results,335,327,32201,0.0881
P00071,03-09-2024,03:04,twiter,video,Post about growth,#socialmedia #content,4576,"Helpful context, thanks for sharing",557,333,25658,0.2217
P00072,29-12-2024,14:39,facebook,video,Post about brand building,#socialmedia #branding #strategy #analytics,3711,"Short and informative, I like it",177,239,21154,0.2054
P00073,17-05-2024,07:11,facebook,image_caurosel,Post about analytics,#trends #growth #digital,3105,Clear explanation without unnecessary hype,260,266,16179,0.2386
P00074,21-07-2024,20:51,youtube,video,Post about engagement tips,#socialmedia #marketing,2111,"Helpful context, thanks for sharing",251,519,36623,0.082
P00075,28-04-2024,03:03,facebook,video,Post about brand building,#socialmedia #digital,3722,"Not groundbreaking, but very solid advice",382,41,42234,0.1011
P00076,01-04-2024,20:38,twiter,image_caurosel,Post about growth,#digital #analytics #marketing,3729,This gave me a new angle to think about,617,266,4579,1.0201
P00077,10-05-2024,10:26,twiter,image_caurosel,Post about brand building,#socialmedia #growth #marketing,363,"Helpful context, thanks for sharing",613,208,7057,0.1692
P00078,07-10-2024,12:42,facebook,video,Post about brand building,#analytics #content,4010,"Useful breakdown, especially the last part",64,417,17319,0.2831
P00079,28-07-2024,01:19,twiter,image,Post about engagement tips,#digital #growth,2370,Makes sense when you see it laid out like this,683,314,29773,0.1296
P00080,26-07-2024,13:07,youtube,image,Post about brand building,#engagement #analytics #strategy,1718,This was genuinely helpful for my workflow,6,444,31282,0.072
P00081,27-01-2024,19:59,twiter,video,Post about brand building,#analytics #digital,4568,This actually answered a question I had,145,406,16257,0.3332
P00082,23-03-2024,15:48,facebook,image,Post about analytics,#engagement #digital,4319,I tried something similar and got decent results,175,68,18598,0.2561
P00083,07-11-2024,07:39,instagram,video,Post about analytics,#analytics #growth #marketing,3227,Makes sense when you see it laid out like this,88,164,45211,0.086
P00084,22-09-2024,07:46,facebook,image_caurosel,Post about brand building,#marketing #digital #socialmedia #growth,1331,Easy to understand and practical,392,367,5383,0.4033
P00085,21-08-2024,09:37,facebook,image,Post about engagement tips,#digital #engagement #strategy #socialmedia,4556,This was genuinely helpful for my workflow,642,313,89645,0.0639
P00086,02-01-2024,19:49,instagram,image_caurosel,Post about engagement tips,#socialmedia #trends #analytics,4059,"Interesting approach, might test this soon",476,240,62644,0.0825
P00087,08-08-2024,21:02,youtube,video,Post about analytics,#digital #strategy,3042,Clear explanation without unnecessary hype,93,452,36114,0.1067
P00088,28-01-2024,02:39,youtube,image_caurosel,Post about analytics,#branding #analytics #growth,4178,Clear explanation without unnecessary hype,386,139,7587,0.6783
P00089,28-06-2024,14:09,twiter,video,Post about engagement tips,#trends #branding,2116,Easy to understand and practical,162,331,20157,0.1527
P00090,16-09-2024,05:25,facebook,video,Post about content strategy,#digital #content #analytics #strategy,1994,"Useful breakdown, especially the last part",326,381,4427,0.6341
P00091,28-02-2024,16:37,youtube,image,Post about brand building,#content #digital #branding #growth,4397,"Interesting approach, might test this soon",49,368,63797,0.08
P00092,22-10-2024,07:11,youtube,image,Post about brand building,#branding #digital #marketing,1247,I tried something similar and got decent results,368,338,3933,0.5553
P00093,23-04-2024,11:57,youtube,image_caurosel,Post about engagement tips,#trends #marketing,1273,This was genuinely helpful for my workflow,297,442,14979,0.1521
P00094,28-01-2024,16:22,facebook,image,Post about brand building,#trends #analytics #growth,71,"Interesting approach, might test this soon",580,363,713,1.5049
P00095,15-11-2024,07:45,facebook,image,Post about growth,#analytics #branding,3940,Makes sense when you see it laid out like this,162,137,5809,0.813
P00096,15-05-2024,20:37,instagram,video,Post about brand building,#engagement #growth #analytics #marketing,144,I tried something similar and got decent results,57,575,1598,0.679
P00097,01-02-2024,05:03,youtube,image_caurosel,Post about brand building,#growth #analytics #content #socialmedia,4404,"Not groundbreaking, but very solid advice",25,415,28758,0.1728
P00098,07-11-2024,09:04,twiter,video,Post about growth,#engagement #strategy #marketing #growth,4202,I wish more posts explained it this clearly,663,425,27112,0.2049
P00099,26-08-2024,03:16,facebook,video,Post about growth,#digital #branding,709,I tried something similar and got decent results,759,463,3602,0.5694
P00100,16-05-2024,09:41,facebook,image_caurosel,Post about brand building,#analytics #branding,4586,"Straight to the point, well done",695,446,73188,0.0802
P00101,13-04-2024,12:21,facebook,image,Post about brand building,#engagement #strategy #marketing,1354,This was genuinely helpful for my workflow,764,334,7663,0.3794
P00102,11-08-2024,19:37,youtube,video,Post about analytics,#marketing #trends,1965,This aligns with what I’ve been seeing lately,584,315,15876,0.1933
P00103,24-02-2024,00:02,facebook,video,Post about growth,#socialmedia #marketing #trends #content,1375,"Short and informative, I like it",353,145,24356,0.0777
P00104,05-07-2024,22:24,youtube,image_caurosel,Post about analytics,#socialmedia #marketing,1682,I tried something similar and got decent results,546,67,30528,0.0899
P00105,20-11-2024,04:06,facebook,image,Post about content strategy,#content #branding #marketing,766,"Interesting approach, might test this soon",769,294,8603,0.2191
P00106,11-05-2024,19:32,instagram,image,Post about brand building,#marketing #content #trends #growth,2365,"Not groundbreaking, but very solid advice",49,376,23410,0.1362
P00107,20-02-2024,06:45,youtube,video,Post about content strategy,#content #marketing,2890,"Not groundbreaking, but very solid advice",480,49,38160,0.0973
P00108,13-04-2024,15:06,instagram,video,Post about analytics,#trends #digital #branding,2412,"Short and informative, I like it",780,55,2717,1.2624
P00109,22-03-2024,03:40,youtube,image,Post about brand building,#digital #trends,2374,This aligns with what I’ve been seeing lately,219,237,35051,0.0833
P00110,24-07-2024,20:01,twiter,image_caurosel,Post about content strategy,#content #strategy #analytics,3282,Makes sense when you see it laid out like this,763,88,30966,0.1483
P00111,18-11-2024,22:48,youtube,image,Post about brand building,#strategy #analytics #engagement,1963,This confirms what our data showed,471,129,36818,0.078
P00112,14-06-2024,08:37,facebook,image_caurosel,Post about content strategy,#growth #strategy #trends,1438,"Useful breakdown, especially the last part",474,449,24037,0.1149
P00113,03-06-2024,10:38,twiter,image_caurosel,Post about analytics,#growth #branding #socialmedia,1316,Appreciate the practical example here,740,159,9448,0.2741
P00114,02-12-2024,09:46,twiter,image,Post about content strategy,#socialmedia #trends,882,"Useful breakdown, especially the last part",200,393,5848,0.2659
P00115,15-04-2024,13:44,facebook,video,Post about content strategy,#marketing #analytics #branding,3231,Easy to understand and practical,475,34,4077,0.9686
P00116,26-07-2024,22:36,instagram,image_caurosel,Post about brand building,#analytics #socialmedia,95,This saves a lot of trial and error,758,248,1861,0.7125
P00117,09-08-2024,12:45,facebook,image,Post about engagement tips,#engagement #marketing #content,2614,"Not groundbreaking, but very solid advice",266,100,30131,0.1032
P00118,11-12-2024,12:53,instagram,image_caurosel,Post about growth,#strategy #growth #analytics,1549,This gave me a new angle to think about,670,335,27068,0.0947
P00119,22-09-2024,06:45,instagram,video,Post about growth,#digital #strategy #trends #growth,2902,This saves a lot of trial and error,103,588,32857,0.1179
P00120,17-04-2024,03:46,twiter,video,Post about growth,#branding #content #strategy,1555,I tried something similar and got decent results,401,526,26567,0.1116
P00121,07-01-2024,21:22,twiter,image_caurosel,Post about analytics,#content #strategy #growth,665,Makes sense when you see it laid out like this,428,430,10983,0.1716
P00122,24-08-2024,20:12,instagram,video,Post about brand building,#growth #analytics #digital #engagement,1786,I wish more posts explained it this clearly,168,132,6321,0.3963
P00123,27-08-2024,15:22,facebook,image,Post about engagement tips,#branding #content #analytics #growth,2461,This was genuinely helpful for my workflow,778,561,45053,0.0859
P00124,23-05-2024,15:27,youtube,video,Post about content strategy,#branding #content,2982,I tried something similar and got decent results,250,309,23994,0.158
P00125,13-02-2024,11:40,youtube,video,Post about growth,#socialmedia #branding,4675,"Useful breakdown, especially the last part",332,143,74248,0.0752
P00126,07-11-2024,14:22,facebook,image_caurosel,Post about engagement tips,#analytics #socialmedia #branding #strategy,881,"Helpful context, thanks for sharing",592,146,8556,0.2009
P00127,20-12-2024,03:35,youtube,image,Post about engagement tips,#analytics #engagement,1795,"Helpful context, thanks for sharing",543,80,30558,0.0905
P00128,12-10-2024,15:15,instagram,image_caurosel,Post about brand building,#marketing #analytics #digital #growth,528,"Short and informative, I like it",495,478,2914,0.6397
P00129,11-09-2024,21:04,facebook,video,Post about content strategy,#marketing #trends #strategy #digital,2481,Good reminder of the basics,476,383,30407,0.117
P00130,18-02-2024,06:45,instagram,video,Post about analytics,#socialmedia #digital #strategy,4233,"Helpful context, thanks for sharing",495,496,23191,0.2262
P00131,26-09-2024,10:27,twiter,video,Post about growth,#branding #digital #engagement,4589,Makes sense when you see it laid out like this,789,215,41853,0.1391
P00132,19-06-2024,20:31,youtube,image,Post about analytics,#branding #analytics #socialmedia,4176,I tried something similar and got decent results,278,518,49390,0.1029
P00133,23-07-2024,12:19,youtube,image_caurosel,Post about growth,#engagement #marketing,4590,"Not groundbreaking, but very solid advice",415,558,79851,0.07
P00134,05-10-2024,22:44,youtube,image_caurosel,Post about growth,#engagement #analytics #socialmedia #digital,3130,Appreciate the practical example here,631,150,44228,0.0963
P00135,19-01-2024,04:50,twiter,video,Post about content strategy,#analytics #content #marketing,3503,Good reminder of the basics,793,103,5282,0.8694
P00136,11-01-2024,18:33,youtube,image_caurosel,Post about engagement tips,#content #engagement #socialmedia #marketing,3578,Makes sense when you see it laid out like this,579,592,10756,0.4656
P00137,31-10-2024,13:35,youtube,image_caurosel,Post about engagement tips,#analytics #marketing,4899,I wish more posts explained it this clearly,675,159,67236,0.0912
P00138,03-01-2024,03:08,instagram,image_caurosel,Post about content strategy,#trends #growth #engagement #digital,126,Appreciate the practical example here,700,124,507,2.1026
P00139,26-01-2024,02:18,instagram,image,Post about content strategy,#marketing #trends,3047,I tried something similar and got decent results,792,148,50890,0.0861
P00140,08-01-2024,19:10,instagram,video,Post about growth,#digital #engagement #strategy,702,Appreciate the practical example here,398,318,5841,0.3075
P00141,15-03-2024,12:49,instagram,image,Post about brand building,#branding #trends #marketing,1006,Easy to understand and practical,371,167,14721,0.1218
P00142,29-11-2024,09:37,instagram,image_caurosel,Post about engagement tips,#content #growth #engagement,4964,This actually answered a question I had,340,15,24791,0.2271
P00143,18-12-2024,05:37,youtube,image,Post about analytics,#analytics #branding #engagement #trends,63,This confirms what our data showed,329,269,631,1.3978
P00144,13-02-2024,23:59,facebook,image,Post about brand building,#content #engagement,4473,This gave me a new angle to think about,566,496,54528,0.1035
P00145,10-05-2024,17:05,twiter,image_caurosel,Post about analytics,#trends #strategy #branding,4853,"Not groundbreaking, but very solid advice",769,9,55332,0.1061
P00146,13-06-2024,06:05,facebook,video,Post about content strategy,#trends #digital #content,3954,"Not groundbreaking, but very solid advice",518,206,28766,0.1666
P00147,17-03-2024,03:23,instagram,image_caurosel,Post about analytics,#trends #marketing #digital,2067,"Useful breakdown, especially the last part",45,505,26600,0.1152
P00148,22-09-2024,18:31,facebook,image,Post about content strategy,#socialmedia #engagement #analytics,218,"Useful breakdown, especially the last part",96,34,1914,0.4169
P00149,20-01-2024,00:03,youtube,video,Post about content strategy,#engagement #trends #socialmedia #content,2825,Easy to understand and practical,205,185,27630,0.1181
P00150,23-11-2024,18:14,youtube,video,Post about brand building,#analytics #engagement #trends,3305,"Interesting approach, might test this soon",122,92,20180,0.1827
P00151,30-04-2024,11:03,youtube,image_caurosel,Post about content strategy,#engagement #marketing #socialmedia #trends,1866,Good reminder of the basics,176,39,18654,0.1376
P00152,03-01-2024,14:48,youtube,image,Post about content strategy,#branding #content #socialmedia,1679,"Interesting approach, might test this soon",693,305,21025,0.1419
P00153,03-09-2024,04:58,youtube,image,Post about analytics,#analytics #growth,3160,Clear explanation without unnecessary hype,172,451,18807,0.2234
P00154,12-11-2024,03:59,instagram,image_caurosel,Post about growth,#digital #trends #growth,3106,"Helpful context, thanks for sharing",767,143,54133,0.0785
P00155,29-02-2024,01:11,instagram,video,Post about analytics,#analytics #branding #content,3048,I wish more posts explained it this clearly,146,339,17594,0.2225
P00156,06-05-2024,09:21,facebook,image,Post about engagement tips,#digital #engagement,1325,"Helpful context, thanks for sharing",26,277,20055,0.1028
P00157,28-02-2024,21:59,facebook,video,Post about engagement tips,#socialmedia #branding #growth,1306,"Interesting approach, might test this soon",525,58,22002,0.1069
P00158,09-08-2024,09:26,facebook,image_caurosel,Post about content strategy,#marketing #engagement,2192,"Not groundbreaking, but very solid advice",244,243,8606,0.335
P00159,23-06-2024,16:18,facebook,image,Post about engagement tips,#content #growth,4234,"Useful breakdown, especially the last part",143,453,4506,1.1627
P00160,19-10-2024,07:45,facebook,image_caurosel,Post about brand building,#socialmedia #engagement,1530,"Useful breakdown, especially the last part",141,184,18643,0.1209
P00161,30-03-2024,00:04,instagram,video,Post about growth,#digital #trends #branding #content,1737,"Helpful context, thanks for sharing",140,196,21944,0.0994
P00162,16-02-2024,21:17,facebook,image_caurosel,Post about brand building,#marketing #analytics #digital,176,"Short and informative, I like it",419,488,741,2.0702
P00163,31-10-2024,16:04,youtube,image,Post about analytics,#content #marketing #branding,88,This aligns with what I’ve been seeing lately,364,532,1020,1.4549
P00164,10-09-2024,17:08,youtube,image_caurosel,Post about growth,#trends #analytics,3707,Appreciate the practical example here,525,26,73262,0.0638
P00165,22-02-2024,03:59,facebook,image,Post about growth,#trends #engagement #growth #digital,2605,This saves a lot of trial and error,256,568,4595,0.7493
P00166,22-02-2024,03:29,instagram,video,Post about brand building,#socialmedia #trends #strategy,2922,Makes sense when you see it laid out like this,96,183,5902,0.5668
P00167,11-03-2024,21:36,instagram,video,Post about engagement tips,#marketing #content,4486,I wish more posts explained it this clearly,606,232,34263,0.1577
P00168,01-11-2024,01:49,twiter,image,Post about engagement tips,#digital #content,4988,"Short and informative, I like it",538,37,56864,0.1064
P00169,13-06-2024,04:43,twiter,image_caurosel,Post about engagement tips,#marketing #digital #socialmedia #branding,3331,Appreciate the practical example here,574,54,24642,0.1716
P00170,05-02-2024,00:14,facebook,image,Post about engagement tips,#marketing #trends #strategy,2707,Easy to understand and practical,443,205,35807,0.1034
P00171,16-05-2024,03:16,youtube,video,Post about growth,#growth #marketing #branding,2289,This aligns with what I’ve been seeing lately,643,555,4653,0.8188
P00172,05-06-2024,19:58,twiter,image_caurosel,Post about engagement tips,#strategy #analytics #engagement #marketing,2897,"Not groundbreaking, but very solid advice",663,170,10806,0.3484
P00173,08-03-2024,07:47,youtube,video,Post about brand building,#engagement #growth #content,2455,This gave me a new angle to think about,416,591,21369,0.1688
P00174,07-10-2024,15:30,twiter,image_caurosel,Post about analytics,#growth #trends #content,3054,"Short and informative, I like it",471,561,22977,0.1917
P00175,21-07-2024,17:20,instagram,image,Post about content strategy,#branding #marketing,147,This was genuinely helpful for my workflow,361,166,1144,0.7378
P00176,22-03-2024,01:33,instagram,image,Post about content strategy,#socialmedia #strategy #growth #digital,4564,Simple but effective insight,68,356,62253,0.0856
P00177,01-08-2024,06:39,twiter,video,Post about growth,#engagement #branding #analytics #growth,2810,This aligns with what I’ve been seeing lately,684,360,12026,0.3496
P00178,03-01-2024,15:25,facebook,image,Post about content strategy,#trends #socialmedia #content #engagement,3412,This saves a lot of trial and error,784,563,41825,0.1153
P00179,20-12-2024,12:33,instagram,video,Post about content strategy,#engagement #content,3801,This saves a lot of trial and error,294,361,42214,0.1099
P00180,02-06-2024,13:36,instagram,video,Post about analytics,#digital #trends,1559,Easy to understand and practical,549,311,27890,0.0896
P00181,04-05-2024,01:16,instagram,image,Post about brand building,#strategy #content #trends,2719,Makes sense when you see it laid out like this,209,436,3439,0.9834
P00182,25-08-2024,00:43,youtube,video,Post about analytics,#content #digital,2980,"Not groundbreaking, but very solid advice",41,359,32692,0.1184
P00183,24-07-2024,13:31,instagram,image,Post about brand building,#digital #strategy #socialmedia #engagement,4648,"Interesting approach, might test this soon",587,157,29337,0.2008
P00184,11-06-2024,03:41,twiter,video,Post about content strategy,#content #analytics #branding #trends,3053,"Not groundbreaking, but very solid advice",76,318,36666,0.0966
P00185,16-04-2024,20:36,youtube,image,Post about brand building,#marketing #content #trends #strategy,4186,This was genuinely helpful for my workflow,192,422,28114,0.172
P00186,06-06-2024,03:37,youtube,video,Post about growth,#analytics #engagement,4579,This confirms what our data showed,4,311,56708,0.094
P00187,17-10-2024,18:12,instagram,video,Post about growth,#analytics #strategy,2229,"Not groundbreaking, but very solid advice",662,544,35956,0.0977
P00188,24-02-2024,16:31,instagram,video,Post about engagement tips,#marketing #digital,287,Simple but effective insight,102,77,1704,0.561
P00189,01-05-2024,20:06,youtube,image,Post about analytics,#trends #content #marketing,2948,I tried something similar and got decent results,282,173,5123,0.6918
P00190,22-04-2024,19:15,facebook,image_caurosel,Post about growth,#trends #analytics,3293,Good reminder of the basics,596,44,32125,0.1234
P00191,04-01-2024,15:04,facebook,video,Post about engagement tips,#trends #growth #content #analytics,3780,Makes sense when you see it laid out like this,310,428,36825,0.1362
P00192,30-12-2024,05:22,instagram,image_caurosel,Post about growth,#content #strategy #digital,4018,This aligns with what I’ve been seeing lately,22,249,15502,0.2827
P00193,20-06-2024,02:07,instagram,image,Post about brand building,#content #growth,4422,This saves a lot of trial and error,394,343,57289,0.096
P00194,25-05-2024,21:01,twiter,image_caurosel,Post about analytics,#analytics #socialmedia #growth #trends,2871,This confirms what our data showed,242,446,5179,0.7156
P00195,06-03-2024,11:22,facebook,video,Post about engagement tips,#trends #growth #branding,4596,"Helpful context, thanks for sharing",453,478,36097,0.1555
P00196,15-09-2024,22:16,instagram,video,Post about content strategy,#growth #content #trends #socialmedia,1724,This aligns with what I’ve been seeing lately,232,463,23872,0.1043
P00197,13-12-2024,12:01,facebook,image,Post about growth,#socialmedia #analytics #growth,4252,Good reminder of the basics,93,555,39715,0.133
P00198,06-04-2024,16:48,twiter,image_caurosel,Post about growth,#branding #socialmedia #growth #analytics,942,Simple but effective insight,69,575,12807,0.1564
P00199,23-07-2024,20:56,facebook,image,Post about analytics,#digital #trends,2363,I wish more posts explained it this clearly,364,413,32822,0.1079
P00200,13-01-2024,20:06,facebook,image,Post about growth,#trends #growth #marketing,3839,Makes sense when you see it laid out like this,254,410,50011,0.0994
